school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,Passed
1,1,18,1,1,1,4,4,4,1,3,1,2,2,0,1,2,2,2,1,1,2,2,4,3,4,1,1,3,0,0
1,1,17,1,1,2,1,1,4,5,3,2,1,2,0,2,1,2,2,2,1,1,2,5,3,3,1,1,3,0,0
1,1,15,1,2,2,1,1,4,5,4,1,1,2,3,1,2,1,2,1,1,1,2,4,3,2,2,3,3,1,0
1,1,15,1,1,2,4,2,2,3,1,1,1,3,0,2,1,1,1,1,1,1,1,3,2,2,1,1,5,0,1
1,1,16,1,1,2,3,3,5,5,1,2,1,2,0,2,1,1,2,1,1,2,2,4,3,2,1,2,5,0,0
1,2,16,1,2,2,4,3,3,5,2,1,1,2,0,2,1,1,1,1,1,1,2,5,4,2,1,2,5,1,1
1,2,16,1,2,2,2,2,5,5,1,1,1,2,0,2,2,2,2,1,1,1,2,4,4,4,1,1,3,0,1
1,1,17,1,1,1,4,4,5,1,1,1,2,2,0,1,1,2,2,1,1,2,2,4,1,4,1,1,1,0,0
1,2,15,1,2,1,3,2,3,5,1,1,1,2,0,2,1,1,2,1,1,1,2,4,2,2,1,1,1,0,1
1,2,15,1,1,2,3,4,5,5,1,1,1,2,0,2,1,1,1,1,1,1,2,5,5,1,1,1,5,0,1
1,1,15,1,1,2,4,4,1,2,2,1,1,2,0,2,1,1,2,1,1,1,2,3,3,3,1,2,2,0,0
1,1,15,1,1,2,2,1,3,5,2,2,3,3,0,2,1,2,1,1,1,1,2,5,2,2,1,1,4,0,1
1,2,15,1,2,2,4,4,2,3,3,2,1,1,0,2,1,1,1,1,1,1,2,4,3,3,1,3,5,0,1
1,2,15,1,1,2,4,3,1,5,3,1,2,2,0,2,1,1,2,1,1,1,2,5,4,3,1,2,3,0,1
1,2,15,1,1,1,2,2,5,5,1,3,1,3,0,2,1,2,2,1,1,1,1,4,5,2,1,1,3,0,1
1,1,16,1,1,2,4,4,2,5,1,1,1,1,0,2,1,2,2,1,1,1,2,4,4,4,1,2,2,0,1
1,1,16,1,1,2,4,4,3,3,2,1,1,3,0,2,1,1,1,1,1,1,2,3,2,3,1,2,2,0,1
1,1,16,1,1,2,3,3,5,5,2,1,3,2,0,1,1,2,1,1,1,2,2,5,3,2,1,1,4,0,0
