,Unnamed: 0,school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,Grade,Passed
117,117,GP,M,Minor,U,GT3,T,Secondary,Secondary,other,services,home,father,15-30min,<2h,No,False,False,False,True,True,True,True,False,Excellent,High,Low,No,No,Good,6,14.0,Failed
481,481,MS,F,Minor,R,GT3,T,Middle,Primary,at_home,other,course,mother,30min-1h,<2h,No,False,True,False,True,True,False,False,True,Excellent,High,Normal,No,No,Normal,2,10.0,Failed
274,274,GP,F,Minor,U,GT3,T,Primary,Primary,at_home,other,course,mother,<15min,2-5h,No,True,False,False,False,False,True,False,True,Excellent,Normal,Low,No,No,Good,10,9.0,Passed
63,63,GP,F,Minor,U,GT3,T,Higher,Secondary,teacher,health,home,mother,<15min,5-10h,No,True,True,False,True,True,True,True,False,Normal,High,High,Moderately,A lot,Good,0,13.0,Failed
405,405,GP,F,Major,U,LE3,A,Middle,Secondary,at_home,other,home,other,15-30min,<2h,1-2,False,False,False,False,True,False,True,False,Bad,Low,Normal,Moderately,A lot,Good,16,10.0,Failed
648,648,MS,M,Major,R,LE3,T,Secondary,Middle,services,other,course,mother,30min-1h,<2h,No,False,False,False,False,False,True,True,False,Excellent,High,Low,Moderately,A lot,Good,4,10.0,Failed
633,633,MS,F,Major,R,LE3,T,Higher,Higher,teacher,services,course,mother,<15min,2-5h,No,False,False,False,True,True,True,True,False,Excellent,High,Normal,Moderately,A lot,Bad,1,13.0,Failed
368,368,GP,M,Major,U,LE3,T,Higher,Higher,other,other,reputation,father,<15min,<2h,No,False,True,False,False,True,True,True,False,Excellent,Low,High,Moderately,A lot,Good,2,9.0,Passed
458,458,MS,F,Minor,R,GT3,T,Primary,Primary,other,other,home,father,>1h,>10h,No,False,True,False,False,False,True,True,False,Excellent,Normal,Low,No,No,Bad,0,12.0,Failed
383,383,GP,M,Major,U,LE3,T,Middle,Middle,other,other,course,mother,<15min,>10h,No,False,True,True,True,True,True,True,False,Excellent,High,High,Moderately,A lot,Good,0,11.0,Failed
43,43,GP,M,Minor,U,GT3,T,Middle,Middle,services,services,course,father,<15min,<2h,No,True,True,False,False,True,True,True,False,Excellent,High,Low,No,No,Bad,0,9.0,Passed
497,497,MS,M,Minor,U,GT3,T,Secondary,Secondary,services,at_home,course,mother,15-30min,>10h,1-2,False,True,True,True,True,True,False,False,Excellent,High,High,Moderately,A lot,Good,0,10.0,Failed
271,271,GP,F,Minor,U,GT3,T,Higher,Higher,teacher,services,course,mother,<15min,2-5h,No,False,True,True,False,True,True,True,True,Excellent,Normal,Low,No,A lot,Good,2,11.0,Failed
627,627,MS,M,Major,R,LE3,T,Primary,Middle,at_home,services,other,father,30min-1h,<2h,No,False,True,False,True,True,False,True,True,Excellent,Normal,Normal,Moderately,Moderately,Normal,3,9.0,Passed
103,103,GP,F,Minor,U,GT3,T,Secondary,Middle,services,other,home,mother,15-30min,2-5h,No,True,True,False,False,True,True,True,False,Excellent,Normal,High,No,No,Bad,16,10.0,Failed
211,211,GP,M,Minor,R,LE3,T,Secondary,Secondary,teacher,other,home,father,30min-1h,<2h,No,False,True,False,True,True,True,True,False,Normal,Normal,High,Moderately,A lot,Normal,16,11.0,Failed
107,107,GP,M,Minor,U,GT3,T,Secondary,Secondary,services,other,home,father,<15min,5-10h,No,False,True,False,True,True,True,True,False,Excellent,Normal,Normal,No,No,Good,4,13.0,Failed
425,425,MS,F,Minor,R,GT3,T,Primary,Primary,at_home,services,other,mother,<15min,<2h,1-2,False,True,False,False,True,True,False,True,Excellent,Low,Normal,No,No,Bad,6,10.0,Failed
192,192,GP,M,Minor,R,GT3,T,Higher,Middle,teacher,services,other,mother,<15min,<2h,No,False,True,False,True,True,True,True,True,Excellent,Normal,Normal,Moderately,A lot,Normal,8,10.0,Failed
352,352,GP,M,Major,R,GT3,T,Secondary,Secondary,other,services,reputation,father,<15min,2-5h,No,False,False,False,True,True,True,False,True,Excellent,High,Normal,No,Moderately,Good,0,10.0,Failed
445,445,MS,M,Minor,R,GT3,T,Primary,Primary,other,other,course,mother,>1h,2-5h,No,False,True,False,True,True,True,False,True,Excellent,High,High,Moderately,A lot,Good,8,8.0,Passed
397,397,GP,F,Minor,U,GT3,A,Middle,Middle,at_home,at_home,home,father,<15min,2-5h,No,False,True,False,False,True,True,True,True,Normal,Normal,Low,No,Moderately,Good,18,12.0,Failed
