,Unnamed: 0,school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,Grade,Passed
129,129,GP,M,Minor,R,GT3,T,Higher,Higher,teacher,teacher,course,mother,<15min,<2h,No,False,False,True,True,True,True,True,False,Normal,High,High,Moderately,A lot,Good,8,18.0,Failed
244,244,GP,F,Major,U,GT3,T,Middle,Primary,other,other,course,other,15-30min,5-10h,No,False,True,True,False,False,True,True,True,Excellent,High,High,No,No,Normal,0,2.0,Passed
95,95,GP,F,Minor,R,GT3,T,Primary,Primary,at_home,other,home,mother,15-30min,>10h,1-2,True,True,True,True,True,True,True,False,Normal,Low,Low,No,No,Bad,2,9.0,Passed
101,101,GP,M,Minor,U,GT3,T,Higher,Higher,services,teacher,other,father,<15min,5-10h,No,False,True,False,True,True,True,True,True,Excellent,High,Normal,No,No,Good,0,16.0,Failed
274,274,GP,F,Minor,U,GT3,T,Middle,Higher,at_home,health,reputation,mother,15-30min,2-5h,No,False,True,True,False,True,True,True,True,Excellent,Normal,Normal,No,No,Bad,2,10.0,Failed
289,289,GP,M,Major,U,LE3,A,Higher,Higher,teacher,teacher,reputation,mother,<15min,2-5h,No,False,True,True,True,True,True,True,False,Excellent,High,Normal,No,No,Bad,9,14.0,Failed
316,316,GP,F,Major,U,GT3,T,Middle,Primary,services,other,course,mother,15-30min,2-5h,No,False,True,True,True,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Bad,0,5.0,Passed
204,204,GP,F,Minor,R,GT3,T,Middle,Middle,services,services,reputation,mother,15-30min,>10h,No,False,True,True,True,False,True,True,False,Excellent,Normal,High,No,No,Good,6,10.0,Failed
313,313,GP,F,Major,U,LE3,T,Secondary,Middle,services,other,reputation,other,15-30min,2-5h,1-2,False,True,True,False,False,True,True,True,Excellent,Low,Low,No,Moderately,Bad,22,11.0,Failed
16,16,GP,F,Minor,U,GT3,T,Higher,Higher,services,services,reputation,mother,<15min,5-10h,No,False,True,True,True,True,True,True,False,Normal,Low,Normal,No,Moderately,Bad,6,13.0,Failed
392,392,MS,M,Major,R,GT3,T,Primary,Primary,other,other,course,other,<15min,<2h,>3,False,False,False,False,False,True,False,False,Excellent,High,Normal,Moderately,Moderately,Normal,3,8.0,Passed
349,349,MS,M,Major,R,GT3,T,Secondary,Middle,other,other,course,mother,15-30min,<2h,1-2,False,True,False,False,False,True,True,False,Bad,High,High,A lot,A lot,Good,10,12.0,Failed
10,10,GP,F,Minor,U,GT3,T,Higher,Higher,teacher,health,reputation,mother,<15min,2-5h,No,False,True,True,False,True,True,True,False,Normal,Normal,Normal,No,Moderately,Bad,0,9.0,Passed
47,47,GP,M,Minor,U,GT3,T,Higher,Secondary,health,services,reputation,mother,<15min,>10h,No,False,False,False,True,True,True,True,False,Excellent,Low,Low,No,No,Bad,4,19.0,Failed
155,155,GP,M,Minor,R,GT3,T,Middle,Secondary,at_home,services,course,mother,<15min,2-5h,No,True,False,True,True,True,True,False,False,Excellent,High,High,No,No,Bad,2,9.0,Passed
216,216,GP,F,Minor,U,GT3,T,Higher,Secondary,other,other,reputation,mother,<15min,2-5h,1-2,False,False,True,False,True,True,True,True,Normal,High,High,Moderately,A lot,Bad,22,5.0,Passed
51,51,GP,F,Minor,U,LE3,T,Higher,Middle,health,other,other,mother,<15min,2-5h,No,False,True,True,False,True,True,True,False,Excellent,Normal,Normal,No,No,Good,2,12.0,Failed
